name,pop,region,income,education_score,out_of_work
Towcester BUA,9057,East Midlands,Lower deprivation towns,4.530230361,NA
Totnes BUA,8076,South West,Higher deprivation towns,0.503225122,NA
Hinckley BUA,45249,East Midlands,Lower deprivation towns,0.559958632,7.638888888888889
Yarm BUA,19184,North East,Lower deprivation towns,5.843868109,6.179775280898876
Princes Risborough BUA,8231,South East,Lower deprivation towns,5.24101226,NA
Seaham BUA,22373,North East,Higher deprivation towns,0.136307029,13.79310344827586
Hexham BUA,11388,North East,Lower deprivation towns,0.824917989,NA
Scunthorpe BUA,79977,Yorkshire and The Humber,Higher deprivation towns,-3.787594963,11.195652173913045
Belper BUA,23417,East Midlands,Lower deprivation towns,0.52174457,5.6537102473498235
Littleport BUA,7935,East of England,Mid deprivation towns,-3.796327098,NA
Freckleton BUA,8049,North West,Mid deprivation towns,1.141650348,NA
Berwick-upon-Tweed BUA,13265,North East,Higher deprivation towns,-3.25314731,12.5
Stratford-upon-Avon BUA,27830,West Midlands,Lower deprivation towns,3.147476943,NA
Wombourne BUA,13511,West Midlands,Lower deprivation towns,2.20853634,NA
Burgess Hill BUA,30635,South East,Lower deprivation towns,0.964040705,3.6458333333333335
Spalding BUA,31588,East Midlands,Lower deprivation towns,-0.523466773,5.198776758409786
Ampthill BUA,20026,East of England,Lower deprivation towns,1.742323459,NA
Barnard Castle BUA,7040,North East,Mid deprivation towns,6.595780993,NA
Matlock BUA,14956,East Midlands,Mid deprivation towns,2.778396148,7.83132530120482
Aveley BUA,7986,East of England,Higher deprivation towns,-4.086555371,NA
Morpeth BUA,14403,North East,Lower deprivation towns,5.512185046,6.145251396648044
Fakenham BUA,8285,East of England,Mid deprivation towns,-1.992542149,NA
Lydney BUA,8776,South West,Higher deprivation towns,-1.991447299,12.97709923664122
Cleator Moor BUA,6936,North West,Higher deprivation towns,-7.177692659,15.66265060240964
Brentwood BUA,52586,East of England,Lower deprivation towns,4.499138003,3.8684719535783367
Warrington BUA,165456,North West,Higher deprivation towns,1.607305372,7.6923076923076925
Coleshill (North Warwickshire) BUA,6341,West Midlands,Lower deprivation towns,2.203421596,NA
Winsford (Cheshire West and Chester) BUA,30259,North West,Higher deprivation towns,-4.583039557,12.857142857142856
Kirkby BUA,42744,North West,Higher deprivation towns,-4.619211514,13.651315789473683
Alcester BUA,6939,West Midlands,Mid deprivation towns,-1.784102991,NA
Desborough BUA,10697,East Midlands,Lower deprivation towns,-1.566982084,NA
Biddulph BUA,17669,West Midlands,Mid deprivation towns,-0.755044037,8.720930232558139
Featherstone (Wakefield) BUA,11060,Yorkshire and The Humber,Higher deprivation towns,-0.819387943,10.95890410958904
Witney BUA,29103,South East,Lower deprivation towns,-0.057763175,5.688622754491018
Liskeard BUA,9237,South West,Higher deprivation towns,-3.686982506,12.857142857142856
Faversham BUA,19829,South East,Higher deprivation towns,-1.886243775,8.050847457627118
Market Harborough BUA,22911,East Midlands,Lower deprivation towns,0.373393758,6.557377049180328
Swanage BUA,10454,South West,Lower deprivation towns,-0.390506169,NA
Evesham BUA,23576,West Midlands,Mid deprivation towns,-2.762929262,8.333333333333332
Canvey Island BUA,38170,East of England,Higher deprivation towns,-2.993949093,10.412573673870334
Great Malvern BUA,36770,West Midlands,Mid deprivation towns,-1.026951308,10.824742268041238
Cambourne BUA,8186,East of England,Lower deprivation towns,3.390375305,NA
Salisbury BUA,44748,South West,Mid deprivation towns,-0.337939563,5.580357142857143
Lowestoft BUA,70945,East of England,Higher deprivation towns,-5.880445314,12.12484993997599
Crewkerne BUA,7826,South West,Mid deprivation towns,1.727992942,NA
Ilkley BUA,14809,Yorkshire and The Humber,Lower deprivation towns,8.187997104,NA
Skegness BUA,24876,East Midlands,Higher deprivation towns,-3.176983917,10.9375
Malmesbury BUA,6318,South West,Lower deprivation towns,3.192052251,NA
Danbury BUA,6673,East of England,Lower deprivation towns,7.906404445,NA
Hereford BUA,60415,West Midlands,Mid deprivation towns,-4.150583568,7.881773399014779
Formby BUA,23329,North West,Lower deprivation towns,8.0385394,NA
Sandbach BUA,17976,North West,Lower deprivation towns,3.260302957,NA
Edwinstowe BUA,5188,East Midlands,Lower deprivation towns,-1.204139772,NA
St Ives (Cornwall) BUA,9966,South West,Higher deprivation towns,-1.00595494,9.803921568627452
Pocklington BUA,8337,Yorkshire and The Humber,Lower deprivation towns,-0.246186213,NA
Melton Mowbray BUA,27158,East Midlands,Lower deprivation towns,1.121771906,4.180064308681672
Catterick Garrison BUA,11804,Yorkshire and The Humber,Lower deprivation towns,-4.759452482,NA
Tonbridge BUA,38657,South East,Lower deprivation towns,1.113331627,4.3999999999999995
Ravenshead BUA,5759,East Midlands,Lower deprivation towns,9.531051428,NA
Castle Donington BUA,6416,East Midlands,Lower deprivation towns,-2.933743211,NA
Penkridge BUA,7791,West Midlands,Lower deprivation towns,0.506789648,11.904761904761903
Boston BUA,41340,East Midlands,Higher deprivation towns,-3.294958102,10.526315789473683
Crowborough BUA,20607,South East,Lower deprivation towns,2.093625537,NA
King's Lynn BUA,46093,East of England,Higher deprivation towns,-4.510351252,8.366533864541832
Haywards Heath BUA,33845,South East,Lower deprivation towns,3.10267164,NA
Bridgwater BUA,41276,South West,Higher deprivation towns,-4.50551239,10.800744878957168
Gainsborough BUA,20842,East Midlands,Higher deprivation towns,-4.920193481,16.666666666666664
Dover BUA,41709,South East,Higher deprivation towns,-5.030709544,11.812627291242364
Maidstone BUA,107627,South East,Mid deprivation towns,0.580825095,5.918727915194346
Bath BUA,94782,South West,Lower deprivation towns,1.296418602,5.327868852459016
Scarborough BUA,61749,Yorkshire and The Humber,Higher deprivation towns,-1.693781118,9.401709401709402
Oxted BUA,13452,South East,Lower deprivation towns,3.296634679,NA
Shepton Mallet BUA,10369,South West,Mid deprivation towns,-1.496422044,NA
Stone (Stafford) BUA,16385,West Midlands,Lower deprivation towns,3.61707852,NA
Godmanchester BUA,6506,East of England,Lower deprivation towns,3.664639326,NA
Polesworth BUA,9645,West Midlands,Mid deprivation towns,-0.263818577,NA
Otford BUA,7155,South East,Lower deprivation towns,4.165594223,NA
Kingsbridge BUA,6116,South West,Mid deprivation towns,3.85144957,NA
Tewkesbury BUA,19778,South West,Lower deprivation towns,-1.289171902,10.952380952380953
Bulford Camp BUA,8556,South West,Lower deprivation towns,-4.688911753,NA
West Clandon BUA,5422,South East,Lower deprivation towns,6.977287881,NA
Prestwood BUA,7501,South East,Lower deprivation towns,7.226617063,NA
Barnstaple BUA,31616,South West,Higher deprivation towns,-2.518701836,6.106870229007633
Preesall BUA,5367,North West,Higher deprivation towns,2.64463959,NA
Melksham BUA,19357,South West,Mid deprivation towns,-2.213822897,7.053941908713693
Warminster BUA,17490,South West,Lower deprivation towns,-0.144563264,7.065217391304348
Bridport BUA,13737,South West,Mid deprivation towns,1.619693343,NA
Thame BUA,11329,South East,Lower deprivation towns,1.577351621,NA
Durham BUA,47785,North East,Lower deprivation towns,5.29425431,9.235668789808916
Rowlands Gill BUA,6096,North East,Higher deprivation towns,0.210796382,13.924050632911392
Redcar BUASD,37073,North East,Higher deprivation towns,-2.093097462,16.255144032921812
Kidderminster BUASD,55530,West Midlands,Higher deprivation towns,-3.138242326,11.688311688311687
Chadderton BUASD,34818,North West,Higher deprivation towns,0.668924889,11.76470588235294
Longbenton BUASD,37070,North East,Higher deprivation towns,-0.20031761,7.560975609756097
Watford BUASD,131982,East of England,Mid deprivation towns,2.76260053,3.9509536784741144
Stevenage BUASD,89663,East of England,Higher deprivation towns,-2.030138243,7.257304429783224
Ramsbottom BUASD,17872,North West,Lower deprivation towns,6.078762266,6.593406593406594
Holmfirth BUASD,21706,Yorkshire and The Humber,Lower deprivation towns,4.724757799,4.6875
Chalford BUASD,6876,South West,Lower deprivation towns,4.543595327,NA
Church BUASD,5186,North West,Higher deprivation towns,-3.782613636,18.84057971014493
Bentley BUASD,27145,Yorkshire and The Humber,Higher deprivation towns,-1.389753081,12.091503267973856
Wednesbury BUASD,19029,West Midlands,Higher deprivation towns,-2.582295807,9.31174089068826
Bursledon BUASD,6955,South East,Mid deprivation towns,-6.402588954,NA
Hyde (Tameside) BUASD,34003,North West,Higher deprivation towns,-0.003561658,10.789473684210527
Clayton-le-Moors BUASD,8522,North West,Higher deprivation towns,0.34501103,10.37735849056604
Birstall BUASD,12216,East Midlands,Lower deprivation towns,1.418465375,NA
Urmston BUASD,41825,North West,Lower deprivation towns,3.266720159,5.88235294117647
Poynton BUASD,15282,North West,Lower deprivation towns,6.310770217,NA
York BUASD,152841,Yorkshire and The Humber,Lower deprivation towns,0.516037835,6.086956521739131
Hindley BUASD,24497,North West,Higher deprivation towns,-1.224758485,11.784511784511784
Duffield BUASD,5046,East Midlands,Lower deprivation towns,9.278331945,NA
Innsworth BUASD,13458,South West,Lower deprivation towns,0.543713177,NA
Uppermill BUASD,13448,North West,Lower deprivation towns,7.639190791,NA
Seaton Delaval BUASD,7509,North East,Higher deprivation towns,-0.934462623,NA
Sedgley BUASD,30979,West Midlands,Higher deprivation towns,0.579966036,11.549295774647888
Sandy BUASD,10883,East of England,Mid deprivation towns,-2.439171484,7.2992700729927
Launceston BUASD,7597,South West,Higher deprivation towns,-1.713020244,NA
Brinsley BUASD,5038,East Midlands,Lower deprivation towns,0.956416398,NA
Gorleston-on-Sea BUASD,24741,East of England,Higher deprivation towns,-5.396252285,11.498257839721257
North Ascot BUASD,10227,South East,Lower deprivation towns,8.212058793,NA
Walton-on-the-Naze BUASD,12054,East of England,Higher deprivation towns,-1.646120303,11.627906976744184
Borrowash BUASD,7335,East Midlands,Lower deprivation towns,0.137847463,NA
Dunscroft BUASD,14326,Yorkshire and The Humber,Higher deprivation towns,-2.198733131,12.12121212121212
Fence Houses BUASD,6649,North East,Higher deprivation towns,-2.359283201,20
Ware BUASD,18799,East of England,Lower deprivation towns,3.256692068,NA
Northam BUASD,10643,South West,Higher deprivation towns,0.007992804,NA
Farnborough BUASD,65034,South East,Lower deprivation towns,-2.06492402,6.151645207439199
Baldock BUASD,10280,East of England,Lower deprivation towns,2.22129998,NA
Letchworth Garden City BUASD,33249,East of England,Higher deprivation towns,0.274278812,7.611548556430446
Chorley BUASD,36183,North West,Higher deprivation towns,-0.062317391,10.026385224274406
Guiseley BUASD,11960,Yorkshire and The Humber,Lower deprivation towns,4.216899186,NA
Maidenhead BUASD,63580,South East,Lower deprivation towns,4.588403915,3.076923076923077
Basingstoke BUASD,107355,South East,Lower deprivation towns,-2.084542454,6.030969845150774
Swanley BUASD,16226,South East,Higher deprivation towns,-2.554599143,8.205128205128204
Horwich BUASD,19492,North West,Higher deprivation towns,1.494028346,8.75
Thornton (Wyre) BUASD,18941,North West,Mid deprivation towns,4.329882844,9.090909090909092
Ruddington BUASD,7020,East Midlands,Lower deprivation towns,2.961247974,NA
Chorleywood BUASD,12948,East of England,Lower deprivation towns,9.436415769,NA
Shevington Vale BUASD,5197,North West,Lower deprivation towns,9.481922058,NA
Hedon BUASD,8194,Yorkshire and The Humber,Mid deprivation towns,-0.64520719,NA
Worthing BUASD,109120,South East,Mid deprivation towns,-1.572479804,6.989247311827956
Saltdean BUASD,12936,South East,Lower deprivation towns,0.297788337,NA
Romiley BUASD,34696,North West,Higher deprivation towns,-1.360599159,10.411622276029057
Clifton (City of Nottingham) BUASD,22407,East Midlands,Higher deprivation towns,-5.914195291,16.796875
South Elmsall BUASD,10366,Yorkshire and The Humber,Higher deprivation towns,-1.012782303,11.515151515151516
Ashton-in-Makerfield BUASD,28762,North West,Higher deprivation towns,3.101443415,8.88888888888889
Prescot BUASD,37911,North West,Higher deprivation towns,1.676588847,12.869198312236287
Sale BUASD,134022,North West,Higher deprivation towns,-0.639161991,11.904761904761903
South Kirkby BUASD,8533,Yorkshire and The Humber,Higher deprivation towns,-4.213214985,12
Eccles BUASD,38756,North West,Higher deprivation towns,-2.782262982,12.71393643031785
Cottingham BUASD,15182,Yorkshire and The Humber,Lower deprivation towns,-0.137521472,9.923664122137405
Dewsbury BUASD,62945,Yorkshire and The Humber,Higher deprivation towns,-2.122974794,11.636363636363637
Syston BUASD,12804,East Midlands,Lower deprivation towns,1.302890147,NA
Morley BUASD,29673,Yorkshire and The Humber,Higher deprivation towns,2.580287156,10.476190476190476
Gillingham BUASD,104157,South East,Higher deprivation towns,-0.338993657,8.226837060702875
Pelton BUASD,5278,North East,Higher deprivation towns,-1.58142348,22.972972972972975
Rothwell BUASD,19512,Yorkshire and The Humber,Mid deprivation towns,-0.986711753,6.701030927835052
Aldershot BUASD,57211,South East,Mid deprivation towns,-1.656571902,7.296849087893864
Dunstable BUASD,30184,East of England,Mid deprivation towns,-1.085901732,6.629834254143646
Trimley St Mary BUASD,5607,East of England,Lower deprivation towns,-2.156351207,NA
Braunton BUASD,7353,South West,Lower deprivation towns,-1.206411528,NA
Hazel Grove BUASD,19365,North West,Lower deprivation towns,3.840141386,5.911330049261084
Northfleet BUASD,27628,South East,Higher deprivation towns,-1.811253124,8.978328173374612
New Milton BUASD,19969,South East,Mid deprivation towns,-1.425647801,NA
Heckmondwike BUASD,12085,Yorkshire and The Humber,Higher deprivation towns,-2.180692894,8.860759493670885
Ashtead BUASD,13901,South East,Lower deprivation towns,8.063923033,NA
Altrincham BUASD,52419,North West,Lower deprivation towns,6.056482702,4.013961605584642
Hullbridge BUASD,6097,East of England,Lower deprivation towns,0.879268136,NA
Bilston BUASD,29556,West Midlands,Higher deprivation towns,-3.973907614,18.384401114206128
Woodbridge BUASD,11341,East of England,Lower deprivation towns,3.16352695,8.064516129032258
Winchester BUASD,45184,South East,Lower deprivation towns,4.068887671,3.3942558746736298
Histon BUASD,7866,East of England,Lower deprivation towns,6.779463444,NA
Denton BUASD,36591,North West,Higher deprivation towns,0.284171701,7.582938388625592
Plymstock BUASD,25221,South West,Lower deprivation towns,2.878987054,5.944055944055944
Irlam BUASD,19933,North West,Higher deprivation towns,-3.240896417,12.781954887218044
Bedworth BUASD,30648,West Midlands,Higher deprivation towns,-2.756130842,8.635097493036211
Brighton and Hove BUASD,229700,South East,Cities,0.666461582,9.6406160867085
Whickham BUASD,16652,North East,Mid deprivation towns,6.029443478,10.309278350515465
Kirkby-in-Ashfield BUASD,26927,East Midlands,Higher deprivation towns,-3.974575654,14.606741573033707
Yatton BUASD,7203,South West,Lower deprivation towns,1.762950972,NA
Middleton (Rochdale) BUASD,42972,North West,Higher deprivation towns,-1.577901901,12.12121212121212
Swinton BUASD,25362,North West,Higher deprivation towns,1.73714735,10.526315789473683
Sandhurst BUASD,20495,South East,Lower deprivation towns,2.397830523,4.918032786885246
St Austell BUASD,23864,South West,Higher deprivation towns,-0.62557946,7.664233576642336
Swallownest BUASD,15022,Yorkshire and The Humber,Higher deprivation towns,2.727162075,12.777777777777777
Dudley (Dudley) BUASD,79379,West Midlands,Higher deprivation towns,-3.209162913,12.660731948565775
Great Harwood BUASD,10800,North West,Higher deprivation towns,-0.300604437,NA
Groby BUASD,6782,East Midlands,Lower deprivation towns,5.520220795,NA
Knottingley BUASD,13971,Yorkshire and The Humber,Higher deprivation towns,-5.195221651,20.689655172413794
Cullompton BUASD,7439,South West,Lower deprivation towns,-3.054432815,NA
Wednesfield BUASD,25303,West Midlands,Higher deprivation towns,-0.16735383,11.25
Waterbeach BUASD,5210,East of England,Lower deprivation towns,-0.396774338,NA
Ince-in-Makerfield BUASD,12243,North West,Higher deprivation towns,-4.369479427,8.875739644970414
Salford BUASD,103886,North West,Higher deprivation towns,-2.491062456,12.36323851203501
Halifax BUASD,88134,Yorkshire and The Humber,Higher deprivation towns,-0.711623244,11.78082191780822
Crowthorne BUASD,14263,South East,Lower deprivation towns,8.023612449,NA
Bromsgrove BUASD,33461,West Midlands,Mid deprivation towns,-0.02223226,6.149732620320856
St Blazey BUASD,9958,South West,Higher deprivation towns,-2.256889066,9.15492957746479
Gatley BUASD,20997,North West,Lower deprivation towns,5.793173582,4.484304932735426
Bloxwich BUASD,47288,West Midlands,Higher deprivation towns,-6.351488055,20.63758389261745
Pickering BUASD,6588,Yorkshire and The Humber,Mid deprivation towns,5.065109445,NA
Woburn Sands BUASD,5959,South East,Lower deprivation towns,3.95902288,NA
Heathfield BUASD,7732,South East,Lower deprivation towns,1.543776057,NA
Euxton BUASD,8118,North West,Lower deprivation towns,6.903651622,NA
Weston BUASD,6069,South West,Higher deprivation towns,-2.824429521,NA
Kingswinford BUASD,50801,West Midlands,Higher deprivation towns,2.382700835,6.423611111111111
Uckfield BUASD,15213,South East,Lower deprivation towns,3.926932387,NA
Wells BUASD,10536,South West,Mid deprivation towns,-1.355545101,NA
Hetton-le-Hole BUASD,12127,North East,Higher deprivation towns,-0.572072407,14.473684210526317
Trowbridge BUASD,39409,South West,Mid deprivation towns,-1.978006498,9.233791748526524
Redhill BUASD,34498,South East,Lower deprivation towns,-0.496324682,4.261363636363636
Addlestone BUASD,15883,South East,Lower deprivation towns,2.405694248,NA
Haydock BUASD,16521,North West,Higher deprivation towns,-0.13571104,9.523809523809524
Coleford BUASD,5103,South West,Higher deprivation towns,-6.356277691,NA
Smethwick BUASD,48765,West Midlands,Higher deprivation towns,-1.851598092,15.629742033383916
Sutton in Ashfield BUASD,45848,East Midlands,Higher deprivation towns,-3.76077978,13.026052104208416
Kidlington BUASD,15046,South East,Lower deprivation towns,-1.342192217,NA
Chigwell BUASD,10365,East of England,Lower deprivation towns,2.110547111,NA
Ossett BUASD,21231,Yorkshire and The Humber,Mid deprivation towns,4.080223424,7.792207792207792
Mansfield Woodhouse BUASD,18574,East Midlands,Higher deprivation towns,-2.189665402,8.849557522123893
Southend-on-Sea BUASD,175547,East of England,Higher deprivation towns,-1.008837714,10.551558752997602
Brierley Hill BUASD,31430,West Midlands,Higher deprivation towns,-3.29543406,12.207792207792208
Wallasey BUASD,60284,North West,Higher deprivation towns,-1.245036256,12.309820193637622
Harwich BUASD,19738,East of England,Higher deprivation towns,-2.798036346,16.94214876033058
Barrow upon Soar BUASD,5956,East Midlands,Lower deprivation towns,0.173554969,NA
Kendal BUASD,28586,North West,Lower deprivation towns,1.889118975,5.167173252279635
South Shields BUASD,75337,North East,Higher deprivation towns,-2.003480579,16.46489104116223
Corsham BUASD,13432,South West,Lower deprivation towns,1.627297372,NA
Mirfield BUASD,19330,Yorkshire and The Humber,Mid deprivation towns,4.45905833,6.392694063926941
Coppull BUASD,7959,North West,Higher deprivation towns,-1.788450725,NA
Norwich BUASD,186682,East of England,Higher deprivation towns,-4.017804063,8.989460632362057
Higham Ferrers BUASD,8083,East Midlands,Lower deprivation towns,-4.166607118,NA
Norton-on-Derwent BUASD,7049,Yorkshire and The Humber,Mid deprivation towns,-1.471898725,NA
Stourbridge BUASD,63298,West Midlands,Higher deprivation towns,3.184527723,10.71932299012694
Westhoughton BUASD,24126,North West,Mid deprivation towns,0.944128339,8.361204013377927
Felixstowe BUASD,23564,East of England,Mid deprivation towns,-3.006915502,7.755102040816326
Yate BUASD,30022,South West,Lower deprivation towns,-2.474376394,3.1026252983293556
Goldthorpe BUASD,6051,Yorkshire and The Humber,Higher deprivation towns,-9.285628136,17.28395061728395
Whitehaven BUASD,23986,North West,Higher deprivation towns,-3.625104199,13.074204946996469
Baildon BUASD,15944,Yorkshire and The Humber,Lower deprivation towns,2.696693887,NA
Shefford BUASD,5954,East of England,Lower deprivation towns,2.106567892,NA
Lees BUASD,13062,North West,Mid deprivation towns,2.972648349,9.62962962962963
Steyning BUASD,6557,South East,Lower deprivation towns,8.083936642,NA
Nuneaton BUASD,86552,West Midlands,Higher deprivation towns,-2.019440204,9.674418604651162
Wisbech BUASD,31573,East of England,Higher deprivation towns,-4.610811628,10.185185185185183
Chatham BUASD,76792,South East,Higher deprivation towns,-2.361691643,11.28048780487805
Dukinfield BUASD,20909,North West,Higher deprivation towns,-1.57866511,10.78838174273859
Falmouth BUASD,22686,South West,Higher deprivation towns,-0.507146946,4.901960784313726
How Wood BUASD,6834,East of England,Lower deprivation towns,6.676941382,NA
Farnworth BUASD,26939,North West,Higher deprivation towns,-3.537825076,18.157894736842103
Sawbridgeworth BUASD,9800,East of England,Lower deprivation towns,4.159398797,NA
Whitstable BUASD,32100,South East,Lower deprivation towns,-0.659305957,5.352112676056338
Cleckheaton BUASD,11648,Yorkshire and The Humber,Higher deprivation towns,-0.240877993,NA
Halesowen BUASD,58135,West Midlands,Higher deprivation towns,2.057541141,7.085346215780998
Nailsea BUASD,16060,South West,Lower deprivation towns,0.732661067,NA
Ashford (Spelthorne) BUASD,28036,South East,Lower deprivation towns,0.735865707,NA
Sutton Coldfield BUASD,109015,West Midlands,Lower deprivation towns,6.372935408,4.714640198511166
Northwood BUASD,5253,East of England,Lower deprivation towns,11.87150502,NA
Manchester BUASD,510746,North West,Cities,-1.781852104,12.478201898856812
Narborough/Enderby BUASD,12996,East Midlands,Lower deprivation towns,0.925170267,NA
Great Notley BUASD,7749,East of England,Lower deprivation towns,2.52457092,NA
North Wingfield BUASD,9205,East Midlands,Higher deprivation towns,-4.738558725,11.76470588235294
Burnley BUASD,81548,North West,Higher deprivation towns,-4.684084881,12.807881773399016
Soham BUASD,9165,East of England,Lower deprivation towns,-3.595444977,NA
Hatfield BUASD,37577,East of England,Lower deprivation towns,-1.33631924,6.093189964157706
Burnham-on-Sea BUASD,23325,South West,Higher deprivation towns,-0.032310942,6.481481481481481
Ingatestone BUASD,5365,East of England,Lower deprivation towns,3.32526577,NA
Bingley BUASD,22493,Yorkshire and The Humber,Mid deprivation towns,3.94853063,6.730769230769231
Blackwater BUASD,7195,South East,Lower deprivation towns,0.918000858,NA
Crosby BUASD,50044,North West,Higher deprivation towns,2.577659281,11.38353765323993
Sandown BUASD,11868,South East,Higher deprivation towns,-6.160463498,11.464968152866245
Hessle BUASD,14515,Yorkshire and The Humber,Mid deprivation towns,-0.535595687,NA
Bishop Auckland BUASD,24908,North East,Higher deprivation towns,-2.212082553,18.0327868852459
Immingham BUASD,10750,Yorkshire and The Humber,Higher deprivation towns,-6.952849356,14.685314685314683
Bootle BUASD,51394,North West,Higher deprivation towns,-3.835224167,17.737003058103976
Brough BUASD,12472,Yorkshire and The Humber,Lower deprivation towns,5.573030387,NA
Ouston BUASD,5303,North East,Lower deprivation towns,3.527385471,NA
Polegate BUASD,9034,South East,Mid deprivation towns,-0.433249073,NA
Haworth BUASD,6379,Yorkshire and The Humber,Lower deprivation towns,3.387639399,NA
Great Wyrley BUASD,18353,West Midlands,Mid deprivation towns,-1.30866886,8.67579908675799
Thrapston BUASD,6239,East Midlands,Lower deprivation towns,3.211539844,NA
Broadstairs BUASD,23632,South East,Mid deprivation towns,-0.025326314,9.120521172638435
Banstead BUASD,10653,South East,Lower deprivation towns,8.094803358,NA
Cheadle BUASD,13467,North West,Mid deprivation towns,-0.206075117,NA
Waltham BUASD,6057,Yorkshire and The Humber,Lower deprivation towns,3.689730382,NA
Rawtenstall BUASD,23128,North West,Higher deprivation towns,0.174191612,7.9422382671480145
Houghton Regis BUASD,16606,East of England,Higher deprivation towns,-6.484121394,10.091743119266056
Rowley Regis BUASD,34260,West Midlands,Higher deprivation towns,-1.308650056,12.472647702407002
Workington BUASD,22098,North West,Higher deprivation towns,-4.869807195,14.69387755102041
Billingham BUASD,35392,North East,Higher deprivation towns,-0.256715434,15.23809523809524
Hebburn BUASD,19148,North East,Higher deprivation towns,1.35443212,16.450216450216452
Midsomer Norton BUASD,12415,South West,Lower deprivation towns,-0.181175569,NA
Aldridge BUASD,39463,West Midlands,Higher deprivation towns,1.698740678,10.085836909871244
Kimberley BUASD,11353,East Midlands,Mid deprivation towns,0.566863572,10.569105691056912
Macclesfield BUASD,56581,North West,Mid deprivation towns,1.918291585,6.741573033707865
Windsor BUASD,31225,South East,Lower deprivation towns,0.974698793,3.985507246376811
Walkden BUASD,21194,North West,Mid deprivation towns,1.96719143,7.582938388625592
Darlaston BUASD,18803,West Midlands,Higher deprivation towns,-5.126676349,19.12350597609562
Whitburn BUASD,5102,North East,Higher deprivation towns,-3.08185144,NA
Burton Latimer BUASD,7449,East Midlands,Mid deprivation towns,-2.452282148,NA
Hucknall BUASD,32107,East Midlands,Higher deprivation towns,-3.174883143,12
Oldbury (Sandwell) BUASD,23964,West Midlands,Higher deprivation towns,-1.599978013,10.30534351145038
Dodworth BUASD,5900,Yorkshire and The Humber,Higher deprivation towns,2.161715842,NA
Stalybridge BUASD,26482,North West,Higher deprivation towns,-0.488017488,13.114754098360656
Stapleford BUASD,16190,East Midlands,Mid deprivation towns,-1.950557637,7.865168539325842
Moorends BUASD,5455,Yorkshire and The Humber,Higher deprivation towns,-3.772493901,15.384615384615383
Bury St Edmunds BUASD,41113,East of England,Lower deprivation towns,-0.16783077,5.643340857787811
Romsey BUASD,16998,South East,Lower deprivation towns,2.649834534,NA
Caterham BUASD,21437,South East,Lower deprivation towns,0.549953241,6.956521739130435
Thatcham BUASD,26017,South East,Lower deprivation towns,-0.080421657,3.592814371257485
Sheringham BUASD,7367,East of England,Mid deprivation towns,2.820617446,NA
Carterton BUASD,15769,South East,Lower deprivation towns,-2.286163498,NA
Eastbourne BUASD,109185,South East,Higher deprivation towns,-2.281555604,9.850483729111698
Darwen BUASD,28155,North West,Higher deprivation towns,-0.761057801,11.838006230529595
Horbury BUASD,10361,Yorkshire and The Humber,Mid deprivation towns,3.173359701,9.090909090909092
Braintree BUASD,41634,East of England,Mid deprivation towns,-4.082898176,6.769825918762089
Carlton (Gedling) BUASD,49235,East Midlands,Higher deprivation towns,1.117383847,9.514563106796116
Wallingford BUASD,7918,South East,Lower deprivation towns,-0.854982582,NA
Horsham BUASD,48041,South East,Lower deprivation towns,5.397228742,2.3952095808383236
Bacup BUASD,13323,North West,Higher deprivation towns,-5.903708401,19.35483870967742
Tyldesley BUASD,16142,North West,Mid deprivation towns,3.194589501,5.181347150259067
Castleford BUASD,39192,Yorkshire and The Humber,Higher deprivation towns,-2.174272293,12.629399585921323
Woodingdean BUASD,9793,South East,Higher deprivation towns,-0.686227177,11.016949152542372
Heywood BUASD,28205,North West,Higher deprivation towns,-3.370296135,16.387959866220736
Bramhall BUASD,17436,North West,Lower deprivation towns,5.470582132,NA
Hartley (Sevenoaks) BUASD,16029,South East,Lower deprivation towns,3.950217044,NA
Thurnscoe BUASD,8687,Yorkshire and The Humber,Higher deprivation towns,-10.02801511,12.096774193548388
Radstock BUASD,9419,South West,Mid deprivation towns,-5.934594888,8.461538461538462
Crawley BUASD,106943,South East,Mid deprivation towns,-3.830908388,6.60828025477707
Worsbrough BUASD,9119,Yorkshire and The Humber,Higher deprivation towns,-6.855157827,12.06896551724138
Littlehampton BUASD,55706,South East,Mid deprivation towns,-3.409339525,8.25082508250825
Goole BUASD,20810,Yorkshire and The Humber,Higher deprivation towns,-4.748883703,11.475409836065571
Mexborough BUASD,15244,Yorkshire and The Humber,Higher deprivation towns,-7.692514402,20.710059171597635
East Wittering BUASD,5647,South East,Mid deprivation towns,0.400143569,NA
Chichester BUASD,28657,South East,Mid deprivation towns,2.11672004,7.142857142857142
Sturry BUASD,5085,South East,Mid deprivation towns,-0.779019226,NA
Cromer BUASD,7949,East of England,Higher deprivation towns,-1.490068056,NA
Ewell BUASD,51727,South East,Lower deprivation towns,3.8292772,3.839122486288848
Throckley BUASD,5507,North East,Higher deprivation towns,-4.099446778,NA
Penryn BUASD,8439,South West,Higher deprivation towns,-1.276549602,NA
Borehamwood BUASD,35489,East of England,Higher deprivation towns,-0.125421126,5.75
Royton BUASD,23812,North West,Mid deprivation towns,2.928140371,8.865248226950355
Kibworth Harcourt BUASD,5433,East Midlands,Lower deprivation towns,2.678125793,NA
Thornton (Bradford) BUASD,5289,Yorkshire and The Humber,Higher deprivation towns,-4.221030255,NA
