name,pop,region,income,education_score,out_of_work
Sawston BUA,7275,East of England,Lower deprivation towns,1.187961052,NA
Sidmouth BUA,12569,South West,Lower deprivation towns,1.241814934,NA
Epping BUA,10289,East of England,Lower deprivation towns,3.11249282,NA
Torpoint BUA,7717,South West,Higher deprivation towns,-0.715392574,NA
Hilton (South Derbyshire) BUA,7714,East Midlands,Lower deprivation towns,1.067191916,NA
Burghfield Common BUA,5932,South East,Lower deprivation towns,1.792829385,NA
Buckingham BUA,12890,South East,Lower deprivation towns,5.494822908,NA
Netley BUA,6338,South East,Lower deprivation towns,-2.936731906,NA
Brackley BUA,13018,East Midlands,Lower deprivation towns,2.148885342,NA
Ivybridge BUA,11851,South West,Lower deprivation towns,2.840554708,NA
Marske-by-the-Sea BUA,8282,North East,Mid deprivation towns,1.13237635,NA
Denmead BUA,6107,South East,Lower deprivation towns,2.288312691,NA
Paddock Wood BUA,7840,South East,Lower deprivation towns,-0.320502188,NA
Garforth BUA,14838,Yorkshire and The Humber,Lower deprivation towns,4.63527406,NA
Northallerton BUA,16832,Yorkshire and The Humber,Mid deprivation towns,-1.4375767,12.865497076023392
Tenterden BUA,7118,South East,Lower deprivation towns,-0.357764516,NA
Market Warsop BUA,9018,East Midlands,Higher deprivation towns,-2.483771314,13.333333333333334
Tadcaster BUA,6480,Yorkshire and The Humber,Lower deprivation towns,1.589070877,NA
Long Ashton BUA,5254,South West,Lower deprivation towns,1.134955613,NA
Hayle BUA,8210,South West,Higher deprivation towns,-0.8318962,NA
Conisbrough BUA,15934,Yorkshire and The Humber,Higher deprivation towns,-6.040882817,19
Nantwich BUA,17226,North West,Lower deprivation towns,2.976086637,NA
Market Drayton BUA,11773,West Midlands,Higher deprivation towns,-5.454821634,16.05839416058394
Portishead BUA,23699,South West,Lower deprivation towns,3.951416094,NA
Crofton BUA,5258,Yorkshire and The Humber,Lower deprivation towns,1.821911821,NA
Wotton-under-Edge BUA,5627,South West,Lower deprivation towns,2.542777863,NA
Marple BUA,18241,North West,Lower deprivation towns,5.867008254,NA
Southwell BUA,6757,East Midlands,Lower deprivation towns,8.266077082,NA
Dawlish BUA,11312,South West,Higher deprivation towns,-4.036973003,10.619469026548671
Dronfield BUA,21124,East Midlands,Lower deprivation towns,4.983969265,NA
Wootton Bassett BUA,11265,South West,Lower deprivation towns,1.30782494,NA
Hawkinge BUA,8002,South East,Mid deprivation towns,0.094829376,8.771929824561402
Peasedown St John BUA,6269,South West,Mid deprivation towns,-2.346464836,NA
New Waltham BUA,5613,Yorkshire and The Humber,Lower deprivation towns,2.198211806,NA
Dinnington (Rotherham) BUA,19860,Yorkshire and The Humber,Higher deprivation towns,-0.775947056,11.023622047244094
Stansted Mountfitchet BUA,6669,East of England,Lower deprivation towns,0.866802687,NA
Balsall Common BUA,7039,West Midlands,Lower deprivation towns,7.657705361,NA
Bayston Hill BUA,5079,West Midlands,Lower deprivation towns,4.100819556,NA
Faringdon BUA,7121,South East,Lower deprivation towns,1.29274296,NA
Weaverham BUA,6087,North West,Higher deprivation towns,-0.393862219,NA
Ilminster BUA,5808,South West,Mid deprivation towns,-2.585601614,NA
Ferryhill BUA,9805,North East,Higher deprivation towns,-3.049247235,20.51282051282051
Raunds BUA,8641,East Midlands,Lower deprivation towns,-3.532408517,NA
Halstead BUA,11906,East of England,Mid deprivation towns,-4.033132508,NA
Newport (Isle of Wight) BUA,24884,South East,Higher deprivation towns,-4.980575217,9.271523178807946
Ponteland BUA,10135,North East,Lower deprivation towns,5.056930313,NA
Measham BUA,5209,East Midlands,Mid deprivation towns,-3.336777929,NA
Oakham BUA,10922,East Midlands,Lower deprivation towns,2.036418475,NA
Brotton BUA,5394,North East,Higher deprivation towns,0.045950752,17.647058823529413
Okehampton BUA,7647,South West,Higher deprivation towns,-1.362611073,NA
Great Wakering BUA,5400,East of England,Mid deprivation towns,-0.372545744,NA
Clitheroe BUA,14765,North West,Lower deprivation towns,3.287213662,9.146341463414634
Helsby BUA,5166,North West,Lower deprivation towns,8.52407035,NA
Petersfield BUA,14974,South East,Lower deprivation towns,2.742343958,NA
Louth BUA,16419,East Midlands,Higher deprivation towns,-4.090837485,11.41304347826087
Ashington (Northumberland) BUA,27670,North East,Higher deprivation towns,-4.708610354,17.52873563218391
Newmarket BUA,20384,East of England,Lower deprivation towns,-3.130722094,NA
Culcheth BUA,6708,North West,Lower deprivation towns,5.98289748,NA
Heswall BUA,29789,North West,Lower deprivation towns,6.668239188,5.079365079365079
Sheerness BUA,11938,South East,Higher deprivation towns,-9.79178081,21.875
Driffield BUA,13080,Yorkshire and The Humber,Lower deprivation towns,0.005535486,NA
Retford BUA,22023,East Midlands,Higher deprivation towns,-2.510765203,13.191489361702128
Radcliffe on Trent BUA,7510,East Midlands,Lower deprivation towns,4.545060749,NA
Ruskington BUA,5637,East Midlands,Mid deprivation towns,4.080634357,NA
Wigton BUA,5831,North West,Mid deprivation towns,0.040913958,NA
Leominster BUA,10938,West Midlands,Higher deprivation towns,-5.341426577,8.849557522123893
Bodmin BUA,14614,South West,Higher deprivation towns,-2.329007892,10.92896174863388
Caister-on-Sea BUA,8901,East of England,Higher deprivation towns,-1.183723077,NA
Devizes BUA,18064,South West,Mid deprivation towns,-3.329351471,8.636363636363637
Cotgrave BUA,7203,East Midlands,Mid deprivation towns,-0.056459409,NA
Wingate BUA,5134,North East,Higher deprivation towns,-0.543272318,17.543859649122805
Elland BUA,15625,Yorkshire and The Humber,Higher deprivation towns,0.274798841,11.235955056179774
Bishop's Stortford BUA,37838,East of England,Lower deprivation towns,6.420747235,2.7139874739039667
Kenilworth BUA,22413,West Midlands,Lower deprivation towns,7.796484011,NA
Hungerford BUA,5100,South East,Lower deprivation towns,0.082611978,NA
Countesthorpe BUA,6377,East Midlands,Lower deprivation towns,6.56252782,NA
